,linear.weight,linear.bias
39,"[[-2.3611765e-01 -6.5354700e-03 -2.3136875e-01  1.6979580e-01
   5.0709933e-01 -2.3917221e-01 -1.1250346e+00  9.8225489e-02
   4.4513187e-01 -3.6226762e-03 -3.2518035e-01 -1.0938653e+00
  -4.6326953e-05  9.8927645e-03 -8.5794811e-05 -2.7995148e-01
  -4.3805404e+00 -7.7804794e+00 -2.6540451e+00  1.2254142e+00
   7.9590094e-01  9.9364734e-01]]",[-2.509895]
40,"[[-2.4243441e-01 -6.7843939e-03 -2.3703681e-01  1.6731995e-01
   5.0869948e-01 -2.4234737e-01 -1.1405481e+00  9.4928578e-02
   4.4611767e-01 -3.9387974e-03 -3.2838106e-01 -1.1326275e+00
  -5.7913036e-05  9.9859647e-03 -2.8528375e-05 -2.8261691e-01
  -4.4265079e+00 -7.8557992e+00 -2.6808715e+00  1.2234960e+00
   7.9328293e-01  9.9683386e-01]]",[-2.5022206]
41,"[[-2.4851455e-01 -6.8815295e-03 -2.4245089e-01  1.6495608e-01
   5.1024711e-01 -2.4530800e-01 -1.1555099e+00  9.1770895e-02
   4.4708174e-01 -4.0856968e-03 -3.3141220e-01 -1.1708565e+00
   5.7536559e-05  1.0121661e-02 -4.1675379e-05 -2.8505272e-01
  -4.4709692e+00 -7.9286656e+00 -2.7067211e+00  1.2217373e+00
   7.9081911e-01  1.0001118e+00]]",[-2.4945912]
42,"[[-2.5437450e-01 -7.1588005e-03 -2.4762447e-01  1.6269872e-01
   5.1174295e-01 -2.4807312e-01 -1.1699489e+00  8.8741854e-02
   4.4802585e-01 -4.4177170e-03 -3.3428746e-01 -1.2085259e+00
   1.0208109e-04  1.0292091e-02  7.1461276e-05 -2.8727779e-01
  -4.5139966e+00 -7.9991927e+00 -2.7316444e+00  1.2201314e+00
   7.8851330e-01  1.0034680e+00]]",[-2.4869857]
43,"[[-2.6002374e-01 -7.2123003e-03 -2.5256947e-01  1.6053814e-01
   5.1318920e-01 -2.5066060e-01 -1.1838918e+00  8.5838109e-02
   4.4895151e-01 -4.5269704e-03 -3.3701715e-01 -1.2456434e+00
   7.1444731e-05  1.0295992e-02 -8.9214380e-05 -2.8930768e-01
  -4.5556569e+00 -8.0674829e+00 -2.7556896e+00  1.2186725e+00
   7.8635937e-01  1.0068973e+00]]",[-2.479465]
44,"[[-2.6547095e-01 -7.3602158e-03 -2.5729766e-01  1.5847442e-01
   5.1458889e-01 -2.5308195e-01 -1.1973578e+00  8.3052300e-02
   4.4986069e-01 -4.8088422e-03 -3.3961344e-01 -1.2821877e+00
  -4.0180254e-05  1.0522918e-02  7.5822267e-05 -2.9115838e-01
  -4.5959969e+00 -8.1336489e+00 -2.7788980e+00  1.2173538e+00
   7.8436118e-01  1.0103883e+00]]",[-2.4719977]
45,"[[-2.7073437e-01 -7.4016540e-03 -2.6182356e-01  1.5649758e-01
   5.1593888e-01 -2.5535780e-01 -1.2103763e+00  8.0376409e-02
   4.5075074e-01 -5.3563588e-03 -3.4208903e-01 -1.3181528e+00
  -1.6895303e-05  1.0563355e-02 -4.2935888e-05 -2.9284158e-01
  -4.6350746e+00 -8.1977768e+00 -2.8013101e+00  1.2161673e+00
   7.8251028e-01  1.0139334e+00]]",[-2.464583]
46,"[[-2.7582848e-01 -7.4930913e-03 -2.6616499e-01  1.5459423e-01
   5.1723576e-01 -2.5750750e-01 -1.2229768e+00  7.7797621e-02
   4.5161772e-01 -5.9016277e-03 -3.4445050e-01 -1.3535343e+00
  -5.9020131e-05  1.0609164e-02 -5.2907406e-05 -2.9436821e-01
  -4.6729469e+00 -8.2599621e+00 -2.8229642e+00  1.2151064e+00
   7.8080535e-01  1.0175272e+00]]",[-2.4572232]
47,"[[-2.8076422e-01 -7.7779531e-03 -2.7033076e-01  1.5276149e-01
   5.1848012e-01 -2.5954160e-01 -1.2351773e+00  7.5309046e-02
   4.5246163e-01 -6.4526214e-03 -3.4670097e-01 -1.3883272e+00
   2.6814661e-05  1.0659268e-02  4.9636292e-05 -2.9575458e-01
  -4.7096581e+00 -8.3202791e+00 -2.8438985e+00  1.2141664e+00
   7.7925003e-01  1.0211561e+00]]",[-2.4499288]
48,"[[-2.8553769e-01 -7.6599843e-03 -2.7433601e-01  1.5099756e-01
   5.1967824e-01 -2.6146913e-01 -1.2469931e+00  7.2912179e-02
   4.5328182e-01 -6.8331813e-03 -3.4884664e-01 -1.4225470e+00
   2.9475246e-05  1.0902611e-02  6.9894646e-05 -2.9700601e-01
  -4.7452703e+00 -8.3788185e+00 -2.8641379e+00  1.2133387e+00
   7.7783871e-01  1.0248258e+00]]",[-2.4427547]
49,"[[-2.9016864e-01 -7.8912424e-03 -2.7817914e-01  1.4930338e-01
   5.2082914e-01 -2.6329687e-01 -1.2584407e+00  7.0597805e-02
   4.5408219e-01 -7.1839499e-03 -3.5089719e-01 -1.4561763e+00
  -3.3754222e-05  1.0936626e-02 -7.2489420e-06 -2.9813647e-01
  -4.7798142e+00 -8.4356594e+00 -2.8837204e+00  1.2126236e+00
   7.7656490e-01  1.0285199e+00]]",[-2.4356441]
50,"[[-2.9416966e-01 -7.2310455e-03 -2.8141120e-01  1.4864133e-01
   5.2317119e-01 -2.6455504e-01 -1.2694044e+00  6.9279753e-02
   4.5622933e-01 -6.6807526e-03 -3.5871428e-01 -1.4875374e+00
   1.0508339e-04  1.1072558e-02 -6.7989371e-05 -2.9925284e-01
  -4.8134422e+00 -8.4909334e+00 -2.9027758e+00  1.2121168e+00
   7.7553612e-01  1.0323386e+00]]",[-2.4212291]
51,"[[-2.9416966e-01 -7.2310455e-03 -2.8141120e-01  1.4864133e-01
   5.2317119e-01 -2.6455504e-01 -1.2694044e+00  6.9279753e-02
   4.5622933e-01 -6.6807526e-03 -3.5871428e-01 -1.4875374e+00
   1.0508339e-04  1.1072558e-02 -6.7989371e-05 -2.9925284e-01
  -4.8134422e+00 -8.4909334e+00 -2.9027758e+00  1.2121168e+00
   7.7553612e-01  1.0323386e+00]]",[-2.4212291]
